rank,name,forbes_id,net_worth,age,age_range,country,source,industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
1,Bernard Arnault & family,bernard-arnault,211.0,74.0,8,France,LVMH,Fashion & Retail,74.0,LVMH,,,"Paris, France",France,Married,5.0,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",1.0,0.0,0.0,0.0,0
2,Elon Musk,elon-musk,180.0,51.0,6,United States,"Tesla, SpaceX",Automotive,52.0,"Tesla, SpaceX, Self Made",8.0,1.0,"Austin, Texas",United States,Single,10.0,"Bachelor of Arts/Science, University of Pennsylvania",1.0,0.0,0.0,0.0,1
3,Jeff Bezos,jeff-bezos,114.0,59.0,6,United States,Amazon,Technology,59.0,"Amazon, Self Made",8.0,2.0,"Medina, Washington",United States,Engaged,4.0,"Bachelor of Arts/Science, Princeton University",1.0,0.0,0.0,0.0,1
4,Larry Ellison,larry-ellison,107.0,78.0,8,United States,Oracle,Technology,79.0,"Oracle, Self Made",9.0,1.0,"Lanai, Hawaii",United States,In Relationship,4.0,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",0.0,0.0,0.0,1.0,1
5,Warren Buffett,warren-buffett,106.0,92.0,10,United States,Berkshire Hathaway,Finance & Investments,92.0,"Berkshire Hathaway, Self Made",8.0,5.0,"Omaha, Nebraska",United States,"Widowed, Remarried",3.0,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",1.0,1.0,0.0,0.0,1
6,Bill Gates,bill-gates,104.0,67.0,7,United States,Microsoft,Technology,67.0,"Microsoft, Self Made",8.0,5.0,"Medina, Washington",United States,Divorced,3.0,"Drop Out, Harvard University",0.0,0.0,0.0,1.0,1
7,Michael Bloomberg,michael-bloomberg,94.5,81.0,9,United States,Bloomberg LP,Media & Entertainment,81.0,"Bloomberg LP, Self Made",8.0,4.0,"New York, New York",United States,In Relationship,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",1.0,1.0,0.0,0.0,1
8,Carlos Slim Helu & family,carlos-slim-helu,93.0,83.0,9,Mexico,Telecom,Telecom,83.0,"Telecom, Self Made",,,"Mexico City, Mexico",Mexico,Widowed,6.0,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",1.0,0.0,0.0,0.0,1
9,Mukesh Ambani,mukesh-ambani,83.4,65.0,7,India,Diversified,Diversified,66.0,Diversified,,,"Mumbai, India",India,Married,3.0,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",1.0,0.0,0.0,1.0,0
10,Steve Ballmer,steve-ballmer,80.7,67.0,7,United States,Microsoft,Technology,67.0,"Microsoft, Self Made",6.0,2.0,"Hunts Point, Washington",United States,Married,3.0,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",1.0,0.0,0.0,1.0,1
11,Francoise Bettencourt Meyers & family,francoise-bettencourt-meyers,80.5,69.0,7,France,L'Oréal,Fashion & Retail,70.0,L'Oréal,,,"Paris, France",France,Married,2.0,,,,,,0
12,Larry Page,larry-page,79.2,50.0,5,United States,Google,Technology,50.0,"Google, Self Made",8.0,1.0,"Palo Alto, California",United States,Married,1.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",1.0,1.0,0.0,0.0,1
13,Amancio Ortega,amancio-ortega,77.3,87.0,9,Spain,Zara,Fashion & Retail,87.0,"Zara, Self Made",,,"La Coruna, Spain",Spain,Married,3.0,,,,,,1
14,Sergey Brin,sergey-brin,76.0,49.0,5,United States,Google,Technology,50.0,"Google, Self Made",9.0,2.0,"Los Altos, California",United States,Separated,3.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",1.0,1.0,0.0,0.0,1
15,Zhong Shanshan,zhong-shanshan,68.0,68.0,7,China,"Beverages, pharmaceuticals",Food & Beverage,68.0,"Beverages, pharmaceuticals, Self Made",,,"Hangzhou, China",China,,1.0,,,,,,1
16,Mark Zuckerberg,mark-zuckerberg,64.4,38.0,4,United States,Facebook,Technology,39.0,"Facebook, Self Made",8.0,3.0,"Palo Alto, California",United States,Married,3.0,"Drop Out, Harvard University",0.0,0.0,0.0,1.0,1
17,Charles Koch,charles-koch,59.0,87.0,9,United States,Koch Industries,Diversified,87.0,Koch Industries,5.0,2.0,"Wichita, Kansas",United States,Married,2.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",1.0,1.0,0.0,0.0,0
17,Julia Koch & family,julia-koch,59.0,60.0,6,United States,Koch Industries,Diversified,61.0,Koch Industries,1.0,2.0,"New York, New York",United States,Widowed,3.0,"Bachelor of Arts/Science, University of Central Arkansas",1.0,0.0,0.0,0.0,0
19,Jim Walton,jim-walton,58.8,74.0,8,United States,Walmart,Fashion & Retail,75.0,Walmart,2.0,1.0,"Bentonville, Arkansas",United States,Married,4.0,"Bachelor of Arts/Science, University of Arkansas",1.0,0.0,0.0,0.0,0
20,Rob Walton,rob-walton,57.6,78.0,8,United States,Walmart,Fashion & Retail,78.0,Walmart,4.0,1.0,"Bentonville, Arkansas",United States,Married,3.0,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",1.0,0.0,0.0,0.0,0
21,Alice Walton,alice-walton,56.7,73.0,8,United States,Walmart,Fashion & Retail,73.0,Walmart,1.0,2.0,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",1.0,0.0,0.0,0.0,0
22,David Thomson & family,david-thomson,54.4,65.0,7,Canada,Media,Media & Entertainment,66.0,Media,,,"Toronto, Canada",Canada,Divorced,4.0,"Master of Arts, University of Cambridge",0.0,1.0,0.0,0.0,0
23,Michael Dell,michael-dell,50.1,58.0,6,United States,Dell Technologies,Technology,58.0,"Dell Technologies, Self Made",8.0,2.0,"Austin, Texas",United States,Married,4.0,"Drop Out, The University of Texas at Austin",0.0,0.0,0.0,1.0,1
24,Gautam Adani,gautam-adani-1,47.2,60.0,6,India,"Infrastructure, commodities",Diversified,61.0,"Infrastructure, commodities, Self Made",,,"Ahmedabad, India",India,Married,2.0,,,,,,1
25,Phil Knight & family,phil-knight,45.1,85.0,9,United States,Nike,Fashion & Retail,85.0,"Nike, Self Made",8.0,3.0,"Hillsboro, Oregon",United States,Married,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",1.0,1.0,0.0,0.0,1
26,Zhang Yiming,zhang-yiming,45.0,39.0,4,China,TikTok,Technology,39.0,"TikTok, Self Made",,,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University",1.0,0.0,0.0,0.0,1
27,Dieter Schwarz,dieter-schwarz,42.9,83.0,9,Germany,Retail,Fashion & Retail,83.0,Retail,,,"Neckarsulm, Germany",Germany,Married,2.0,,,,,,0
28,François Pinault & family,francois-pinault,40.1,86.0,9,France,Luxury goods,Fashion & Retail,87.0,"Luxury goods, Self Made",,,"Paris, France",France,Married,3.0,"Drop Out, High School",0.0,0.0,0.0,1.0,1
29,Klaus-Michael Kuehne,klaus-michael-kuehne,39.1,85.0,9,Germany,Shipping,Logistics,86.0,Shipping,,,"Schindellegi, Switzerland",Germany,Married,,,,,,,0
30,Giovanni Ferrero,giovanni-ferrero,38.9,58.0,6,Italy,"Nutella, chocolates",Food & Beverage,58.0,"Nutella, chocolates",4.0,,"Brussels, Belgium",Italy,Married,2.0,,,,,,0
